"ActualNTE","CountryName","GeographicalCoverage","ProjectStaffFundingOfficer","ProjectStaffLTOOfficer","ProjectStaffLTUOfficer","ProjectStatus","ProjectSymbol","ProjectTitle","TotalBudgetFPMIS","staff","team"
"2016-06-30","Angola, Republic of","Country","Nyarko-Badohu, K.","","N'Goma-Kimbatsa, P.","Operationally Active","TCP/ANG/3502","Projet Pilote d`Assistance Preparatoire au Recensement General Agricole en Angola","$278,000 ","Nyarko-Badohu, K.N'Goma-Kimbatsa, P.","Team H"
"2016-06-30","Bangladesh","Country","Voortman, U.","Srivastava, M.","Castano, J.","Operationally Active","TCP/BGD/3502 BABY02","Initial support to develop an Integrated Framework for Census (es) for Crop, Livestock and Fishery sector","$76,000 ","Voortman, U.Srivastava, M.Castano, J.","Team H"
"2015-12-30","Brazil","Country","Damiani, F.","Cafiero, C.","Cafiero, C.","Operationally Active","TCP/BRA/3501 BABY01","Measuring Food Insecurity Indicators in Brazil","$50,543 ","Damiani, F.Cafiero, C.Cafiero, C.","Team D"
"2015-12-31","Chad","Country","Nyarko-Badohu, K.","Ouedraogo, E.","N'Goma-Kimbatsa, P.","Operationally Active","TCP/CHD/3402","Assistance preparatoire au Recensement General de l`Agriculture (RGA) et au Recensement General de l`Elevage (RGE)","$327,000 ","Nyarko-Badohu, K.Ouedraogo, E.N'Goma-Kimbatsa, P.","Team H"
"2016-04-01","Cameroon, Republic of","Country","Nyarko-Badohu, K.","Ouedraogo, E.","N'Goma-Kimbatsa, P.","Operationally Active","TCP/CMR/3501","Assistance preparatoire au Recensement General de  l`Agriculture et de l`Elevage (RGAE)","$443,000 ","Nyarko-Badohu, K.Ouedraogo, E.N'Goma-Kimbatsa, P.","Team H"
"2015-12-31","Comoros","not specified","Nyarko-Badohu, K.","","Ouedraogo, E.","Operationally Active","TCP/COI/3502 BABY01","Appui pour la preparation de Recensement General de l'Agriculture et de l'Elevage (RGAE) des Comores et la mise en place d'un Syst¸æòì†ºme Permanent Integre de Statistiques Agricoles (SPISA) et d'un TCP pour l'assistance ¸æçì†º la preparation des RGAE","$48,477 ","Nyarko-Badohu, K.Ouedraogo, E.","Team H"
"2017-06-30","Comoros","Country","Nyarko-Badohu, K.","Ouedraogo, E.","N'Goma-Kimbatsa, P.","Operationally Active","TCP/COI/3503","Assistance preparatoire au Recensement General de  l'Agriculture (RGA)","$390,000 ","Nyarko-Badohu, K.Ouedraogo, E.N'Goma-Kimbatsa, P.","Team H"
"2015-06-10","Dominican Republic","Country","Damiani, O.","Boero, V.","Castano, J.","Operationally Active","TCP/DOM/3501 BABY04","Asistencia tecnica para apoyar la realizacion de un Pre censo en el marco del VIII Censo Nacional Agropecuario","$65,000 ","Damiani, O.Boero, V.Castano, J.","Team H"
"2015-12-31","El Salvador","Country","Leon Lopez, V.","Boero, V.","Cafiero, C.","Operationally Active","TCP/ELS/3501 BABY02","Fortalecimiento del sistema de seguimiento y evaluacion de Seguridad Alimentaria Nutricional (SAN) a traves del a poyo a la implementacion de la Escala Latinoamericana y Caribe¸æçÜÑºa de Seguridad Alimentaria (ELCSA) en El Salvador","$53,390 ","Leon Lopez, V.Boero, V.Cafiero, C.","Team D"
"2016-08-31","Equatorial Guinea","Country","Nyarko-Badohu, K.","Ouedraogo, E.","Castano, J.","Operationally Active","TCP/EQG/3501 BABY02","Appui pour la preparation et le suivi du Recensement de la population et de l'habitat, du recensement de l'Agriculture et de l'enqu¸æéÉ†ºte population active, formation et emploi de Guinee Equatoriale","$70,188 ","Nyarko-Badohu, K.Ouedraogo, E.Castano, J.","Team H"
"2016-12-31","Gambia, Republic of","Country","Nyarko-Badohu, K.","Ouedraogo, E.","","Operationally Active","TCP/GAM/3504","Support to capacity development in conducting livestock census in The Gambia","$400,000 ","Nyarko-Badohu, K.Ouedraogo, E.","Team H"
"2013-12-31","Ghana","Country","Nyarko-Badohu, K.","","Ouedraogo, E.","Operationally Active","TCP/GHA/3401 BABY03","Support for the preparation of the Agriculture Census of Ghana and the implementation of a Permanent integrated System of Agricultural Statistics (PISAS)","$40,773 ","Nyarko-Badohu, K.Ouedraogo, E.","Team H"
"2015-12-31","Ghana","Country","Nyarko-Badohu, K.","Ouedraogo, E.","","Operationally Active","TCP/GHA/3403","Implementation of the preparatory phase of the Agricultural Census of Ghana","$372,000 ","Nyarko-Badohu, K.Ouedraogo, E.","Team H"
"2017-04-30","Guatemala","Country","Damiani, F.; Campbell Gonzalez, M.","Boero, V.","Grita, F.","Operationally Active","TCP/GUA/3505","Programa de apoyo a Guatemala para mejorar sus istemat estad°stico agropecuario y de seguridad alimentaria","$188,000 ","Damiani, F.; Campbell Gonzalez, M.Boero, V.Grita, F.","Team D"
"2015-06-30","Inter Regional","Interregional","Anand, S.; Siano, R.","","Grita, F.","Operationally Active","TCP/INT/3401","Support for the implementation and development of the CountrySTAT framework in the Economic Cooperation Organization (ECO) countries","$258,996 ","Anand, S.; Siano, R.Grita, F.","Team I"
"2016-08-31","Inter Regional","Interregional","Anand, S.","Grita, F.","","Operationally Active","TCP/INT/3506","Support for the implementation and development of the CountrySTAT framework in the Economic Cooperation Organization (ECO) countries, Phase II of TCP/INT/3401","$90,000 ","Anand, S.Grita, F.","Team I"
"2015-03-31","Cìte d'Ivoire, RÇpublique de la","Country","Nyarko-Badohu, K.","Ouedraogo, E.","","Operationally Active","TCP/IVC/3403","Assistance preparatoire au Recensement des Exploitants et des Exploitations Agricoles (REEA)","$366,000 ","Nyarko-Badohu, K.Ouedraogo, E.","Team H"
"2016-06-30","Madagascar","not specified","Nyarko-Badohu, K.","","Grita, F.; N'Goma-Kimbatsa, P.","Operationally Active","TCP/MAG/3502 BABY01","Appui ¸æçì†º la mise en 'uvre et au developpement du syst¸æòì†ºme CountrySTAT ¸æçì†º Madagascar","$54,466 ","Nyarko-Badohu, K.Grita, F.; N'Goma-Kimbatsa, P.","Team I"
"2015-12-31","Mauritius, Republic of","Country","Nyarko-Badohu, K.","","Ouedraogo, E.","Operationally Active","TCP/MAR/3403","""Support to Census of Agriculture in Mauritius""","$204,000 ","Nyarko-Badohu, K.Ouedraogo, E.","Team H"
"2016-05-31","Mali","Country","Nyarko-Badohu, K.","","Ouedraogo, E.","Operationally Active","TCP/MLI/3501","Projet d`appui ¸æçì†º la preparation du Recensement General de l`Agriculture couple avec celui de l`Elevage au Mali","$344,000 ","Nyarko-Badohu, K.Ouedraogo, E.","Team H"
"2017-05-31","Morocco","Country","Drissi, S.","Georgieva-Mihaylova, N.","Castano, J.","Operationally Active","TCP/MOR/3503","Appui ¸æçì†º la preparation du Recensement General de l'Agriculture (RGA).","$245,000 ","Drissi, S.Georgieva-Mihaylova, N.Castano, J.","Team H"
"2015-12-31","Regional Asia & Pacific","Regional","Voortman, U.","Srivastava, M.","Ramasawmy, S.","Operationally Active","TCP/RAS/3409","Building statistical capacity for quality food security and nutrition information in support of better informed policies","$450,000 ","Voortman, U.Srivastava, M.Ramasawmy, S.","Team D"
"2016-05-31","Rwanda","Country","Nyarko-Badohu, K.","","Tayyib, S.","Operationally Active","TCP/RWA/3501 BABY03","Technical support to NISR for the establishment of a Food Balance Sheet system in Rwanda","$68,681 ","Nyarko-Badohu, K.Tayyib, S.","Team B"
"2015-12-31","Senegal, Republic of","Country","Nyarko-Badohu, K.","Ouedraogo, E.","Castano, J.","Operationally Active","TCP/SEN/3404","Assistance preparatoire au Recensement National de l`Agriculture II","$377,000 ","Nyarko-Badohu, K.Ouedraogo, E.Castano, J.","Team H"
"2015-11-30","Sudan, The Republic of","Country","Drissi, S.","Barre, M.","Barre, M.","Operationally Active","TCP/SUD/3402","Technical Support for Comprehensive Agricultural Census in the Sudan","$398,000 ","Drissi, S.Barre, M.Barre, M.","Team H"
"2015-07-31","Timor-Leste, Democratic Republic of","Country","Voortman, U.","Srivastava, M.","","Operationally Active","TCP/TIM/3402","Establishing a sustainable National Information and Early Warning System  (NIEWS) on Food Security in Timor-Leste","$331,000 ","Voortman, U.Srivastava, M.","Team D"
"2015-06-22","Timor-Leste, Democratic Republic of","Country","Voortman, U.; Konno, K.","Srivastava, M.","Castano, J.","Operationally Active","TCP/TIM/3502 BABY03","Initial Support to Planning of the First Agricultural Census","$61,651 ","Voortman, U.; Konno, K.Srivastava, M.Castano, J.","Team H"
"2017-04-27","Tunisia","Country","Drissi, S.","Georgieva-Mihaylova, N.","Castano, J.","Operationally Active","TCP/TUN/3503","Assistance preparatoire au recensement de l`agriculture.","$401,000 ","Drissi, S.Georgieva-Mihaylova, N.Castano, J.","Team H"
"2017-06-30","Tanzania, United Republic Of","Country","Nyarko-Badohu, K.","Ouedraogo, E.","Fabi, C.","Operationally Active","TCP/URT/3504","Support to the Implementation of Agriculture Statistics Strategic Plan: Improving the reliability of Crop forecasting data","$366,000 ","Nyarko-Badohu, K.Ouedraogo, E.Fabi, C.","Team G"
"2017-08-31","Tanzania, United Republic Of","Country","Nyarko-Badohu, K.","Ouedraogo, E.","Fabi, C.","Operationally Active","TCP/URT/3505","Support to the Implementation of Agriculture Statistics Strategic Plan: Improving district level data using Small Area Estimates methods- ZANZIBAR","$123,000 ","Nyarko-Badohu, K.Ouedraogo, E.Fabi, C.","Team G"
"2017-12-31","Global","Global","Valat, N.; Xu, D.","","Cafiero, C.","Operationally Active","FMM/GLO/106/MUL","FMM support to SO 1 - OO3 (MTP 2014-2017) Voices of the Hungry","$1,800,000 ","Valat, N.; Xu, D.Cafiero, C.","Team K"
"2017-03-31","Global","Global","Maslovarik, V.","","Cafiero, C.","Operationally Active","GCP /GLO/450/UK","VoH-Voices of the Hungry - 2 (203728-101)","$4,844,426 ","Maslovarik, V.Cafiero, C.","Team K"
"2017-06-30","Global","Global","Valat, N.; Oh, J.","Dubey, S.","","Operationally Active","MTF /GLO/359/BMG","Strengthening Agricultural Market Information Systems (AMIS) globally and in selected countries (Bangladesh/India/Nigeria) using innovative methods and digital technology","$5,637,515 ","Valat, N.; Oh, J.Dubey, S.","Team G"
"2017-06-30","Global","Global","Valat, N.; Oh, J.","Srivastava, M.","Fonteneau, F.","Operationally Active","MTF /GLO/359/BMG BABY01","Strengthening Agricultural Market Information Systems in India using innovative methods and digital technology (Baby Project)","$884,374 ","Valat, N.; Oh, J.Srivastava, M.Fonteneau, F.","Team G"
"2017-06-30","Global","Global","Valat, N.; Xu, D.; Oh, J.","Fonteneau, F.","Srivastava, M.","Operationally Active","MTF /GLO/359/BMG BABY02","Strengthening Agriculture Market Information Systems in Bangladesh","$846,935 ","Valat, N.; Xu, D.; Oh, J.Fonteneau, F.Srivastava, M.","Team G"
"2017-06-30","Global","Global","Valat, N.; Xu, D.; Oh, J.","","Fonteneau, F.","Operationally Active","MTF /GLO/359/BMG BABY03","Strengthening Agriculture Market Information Systems in Nigeria using innovative methods and digital technology (Baby Project)","$608,600 ","Valat, N.; Xu, D.; Oh, J.Fonteneau, F.","Team G"
"2016-04-30","South Sudan, The Republic of","Country","Hinrichs, A.; Fan, X.","","Ouedraogo, E.","Operationally Active","OSRO/SSD/301/WFP","Partnership to Stregthen the GRSS Institutional Capacity on Food Security Information Systems: A Component of the National Strategic Food Reserve","$1,830,540 ","Hinrichs, A.; Fan, X.Ouedraogo, E.","Team D"
"2017-03-07","Chad","Country","Jones, A.; Luketic, O.","","Amegbeto, K.","Operationally Active","GCP /CHD/038/EC","Appui ¸æçì†º la mise en place d`un Syst¸æòì†ºme d`Information durable sur la securite alimentaire et d`alerte precoce (SISAAP)","$4,966,574 ","Jones, A.; Luketic, O.Amegbeto, K.","Team D"
"2016-02-28","Dominican Republic","Country","Jones, A.; Luketic, O.","Boero, V.","Castano, J.","Operationally Active","GCP /DOM/018/EC","Asistencia tecnica para apoyar las actividades del  VIII Censo Nacional Agropecuario de la Republica Dominicana","$635,324 ","Jones, A.; Luketic, O.Boero, V.Castano, J.","Team H"
"2016-07-31","Global","Global","Von Gayl, C.; Anta, M.","","Cafiero, C.","Operationally Active","GCP /GLO/540/ITA","Strengthening the Capacity to Monitor Food Insecurity in the Sahel","$1,001,877 ","Von Gayl, C.; Anta, M.Cafiero, C.","Team D"
"2018-11-30","Inter Regional","Interregional","Sawa, Y.","","Fonteneau, F.; Duhamel, C.","Operationally Active","GCP /INT/161/JPN","Strengthening Agricultural Statistics and Food Security Information in CARD Countries through South-South Cooperation","$2,146,647 ","Sawa, Y.Fonteneau, F.; Duhamel, C.","Team D"
"2016-05-05","Cìte d'Ivoire, RÇpublique de la","not specified","Jones, A.; Samartzidou, M.","Ouedraogo, E.","Keita, N.","Operationally Active","GCP /IVC/033/EC","Services d`assistance technique de la FAO pour l`appui ¸æçì†º la mise en 'uvre des activites, le traitement informatique, l`analyse et la diffusion des resultats du Recensement des Exploitants et Exploitations Agricoles (REEA)","$6,916,113 ","Jones, A.; Samartzidou, M.Ouedraogo, E.Keita, N.","Team H"
"2016-03-31","Moldova, Republic of","Country","De Robert, G.","","Kvinikadze, G.","Operationally Active","GCP /MOL/003/ROM","Assistance to the general agricultural census of Moldova","$669,344 ","De Robert, G.Kvinikadze, G.","Team H"
"2016-05-31","SEC - Subregional Office for Central Asia, Ankara","Sub Regional","Lo Bianco, A.; Mugica Martinez De Aguirre, M.","Kvinikadze, G.","Cafiero, C.","Operationally Active","GCP /SEC/008/TUR","Strengthening national capacities for production and analysis of sex-disaggregated data through the implementation of the FAO Gender and Agriculture Framework (GASF)","$330,000 ","Lo Bianco, A.; Mugica Martinez De Aguirre, M.Kvinikadze, G.Cafiero, C.","Team D"
"2016-03-31","Regional Africa","Regional","Von Gayl, C.; Anta, M.","N'Goma-Kimbatsa, P.","","Operationally Active","GTFS/RAF/465/ITA","Strengthening capacity of selected member countries of the East African Community in agricultural statistics for food security - Burundi, Kenya, Uganda, Tanzania and Rwanda","$1,000,000 ","Von Gayl, C.; Anta, M.N'Goma-Kimbatsa, P.","Team D"
"2016-06-30","Global","Global","Valat, N.; Oh, J.","","Grita, F.","Operationally Active","MTF /GLO/345/BMG","CountrySTAT for Sub-Saharan Africa: Strengthening the CountrySTAT System established in 17 Sub-Saharan African Countries - Phase II of GCP/GLO/208/BMG  (Grant OPPGD1452)","$6,929,304 ","Valat, N.; Oh, J.Grita, F.","Team I"
"2017-12-31","Global","Global","Maslovarik, V.","Duhamel, C.","","Operationally Active","MTF /GLO/372/MUL","Global Component- Global Strategy to Improve Agricultural and Rural Statistics","$12,076,112 ","Maslovarik, V.Duhamel, C.","Team G"
"2017-08-17","Regional Near East","Regional","Lo Bianco, A.; Maslovarik, V.","","Barre, M.","Operationally Active","MTF /RAB/372/MUL","Near East Regional Component- Global Strategy to Improve Agricultural and Rural Statistics","$90,682 ","Lo Bianco, A.; Maslovarik, V.Barre, M.","Team G"
"2017-12-31","Regional Africa","Regional","Maslovarik, V.","Duhamel, C.","","Operationally Active","MTF /RAF/372/MUL-AFDB","African Development Bank- Regional Component in Africa- Global Strategy to Improve Agricultural and Rural Statistics","$7,081,669 ","Maslovarik, V.Duhamel, C.","Team G"
"2017-12-31","ECA - United Nations Commission for Africa (UNECA)","Regional","Maslovarik, V.","Duhamel, C.","","Operationally Active","MTF /RAF/485/MUL - ECA","Global Strategy - UNECA component","$3,666,254 ","Maslovarik, V.Duhamel, C.","Team G"
"2017-08-17","Regional Asia & Pacific","Regional","Maslovarik, V.","Srivastava, M.","Gennari, P.","Operationally Active","MTF /RAS/372/MUL","Asian Regional Component- Global Strategy to Improve Agricultural and Rural Statistics","$3,462,307 ","Maslovarik, V.Srivastava, M.Gennari, P.","Team G"
"2017-12-31","Economic and Social Commission for Asia and the Pacific (ESCAP)","Regional","Maslovarik, V.","Duhamel, C.","","Operationally Active","MTF /RAS/485/MUL - ESCA","Global Strategy - UNESCAP component","$1,259,984 ","Maslovarik, V.Duhamel, C.","Team G"
"2017-08-17","Regional Latin America","Regional","Maslovarik, V.","","Boero, V.","Operationally Active","MTF /RLA/372/MUL","Latin America Regional Component- Global Strategy to Improve Agricultural and Rural Statistics","$140,000 ","Maslovarik, V.Boero, V.","Team G"
"2017-08-17","SEU  - Subregional Office for Central and Eastern Europe, Budapest","Sub Regional","Maslovarik, V.","Kvinikadze, G.","Tayyib, S.","Operationally Active","MTF/RER/372/MUL","CIS Regional Component- Global Strategy to Improve Agricultural and Rural Statistics","$88,000 ","Maslovarik, V.Kvinikadze, G.Tayyib, S.","Team G"
"2016-06-30","Angola, Republic of","Country","Lo Bianco, A.","Ouedraogo, E.","","Operationally Active","UTF /ANG/057/ANG","Services d`assistance technique de la FAO pour la preparation du Recensement General de l`Agriculture et de l`Elevage (RGAE)","$116,830 ","Lo Bianco, A.Ouedraogo, E.","Team H"
"2017-05-19","Congo, Republic of","Country","Rahman, D.; Lo Bianco, A.","","N'Goma-Kimbatsa, P.","Operationally Active","UTF /PRC/014/PRC","Recensement General de l`Agriculture  (RGA) et ContrySTAT","$7,652,668 ","Rahman, D.; Lo Bianco, A.N'Goma-Kimbatsa, P.","Team H"
"2017-12-31","","Global","Maslovarik, V.","","","Final Consultation","GINC/GLO/372/MUL BABY01","UK Contribution to the Global Strategy to Improve Agricultural and Rural Statistic","$0 ","Maslovarik, V.","Team G"
"2017-12-31","","Global","Maslovarik, V.","","","Final Consultation","GINC/GLO/372/MUL BABY02","BMG Contribution to General Income Account for the Global Strategy to Improve Agricultural and Rural Statistics","$0 ","Maslovarik, V.","Team G"
"","Global","Global","Valat, N.; Maslovarik, V.","","Cafiero, C.","Final Consultation","PGM/MUL/2013-2018/VOH","VoH-Voices of the Hungry - Full","$0 ","Valat, N.; Maslovarik, V.Cafiero, C.","Team K"
"2021-02-28","Global","Country","Valat, N.","Fonteneau, F.","","Final Consultation","GCP /GLO/677/USA","Implementation of AGRIS surveys","$14,682,430 ","Valat, N.Fonteneau, F.","Team G"
"2015-12-31","Inter Regional","Interregional","Jones, A.; Samartzidou, M.","","","Final Consultation","GCP /INT/130/EC BABY04","Baby 04 Output 2.2 (ex 2.1) : Develop consistent Food Security and hunger related Statistics [ESS/ESN/AGA]","$0 ","Jones, A.; Samartzidou, M.","Team D"
"2017-12-31","Equatorial Guinea","Country","Valat, N.","Ouedraogo, E.","Ouedraogo, E.","Active Pipeline","TO BE PROVIDED","Recensement G¸æôì†ºn¸æôì†ºral de l'Agriculture (RGA)","$0 ","Valat, N.Ouedraogo, E.Ouedraogo, E.","Team H"
"","Guinea-Bissau","Country","","Ouedraogo, E.","N'Goma-Kimbatsa, P.","Active Pipeline","TO BE PROVIDED","Recensement G¸æôì†ºn¸æôì†ºral de l'Agriculture et de l'Elevage (RGAE) en Guin¸æôì†ºe-Bissau et la mise en place d'un Syst¸æô£†ºme Permanent Int¸æôì†ºgr¸æôì†º de Statistique Agricole¸æéÜåº","$3,567,021 ","Ouedraogo, E.N'Goma-Kimbatsa, P.","Team H"
"","Algeria","not specified","Atalla, A.","","N'Goma-Kimbatsa, P.","Active Pipeline","UTF /ALG/017/ALG","Services d'assistance technique de la FAO pour la pr¸æôì†ºparation, la collecte, le traitement informatique, l'analyse et la diffusion des r¸æôì†ºsultats du Recensement G¸æôì†ºn¸æôì†ºral de l'Agriculture (RGA)","$1,568,683 ","Atalla, A.N'Goma-Kimbatsa, P.","Team H"
"2016-06-30","Bolivia","Country","Damiani, F.","Boero, V.","Boero, V.","Operationally Active","TCP/BOL/3504 BABY03","Asistencia tecnica al MDPyEP para el desarrollo de capacidades en la implementacion de una prueba Piloto del Observatorio del Consumo","$41,201 ","Damiani, F.Boero, V.Boero, V.","RLC"
"2016-06-30","Comoros","not specified","Nyarko-Badohu, K.","","Ankers, P.","Operationally Active","TCP/COI/3502","TCP Facility","$164,756 ","Nyarko-Badohu, K.Ankers, P.","NA"
"2016-06-30","Ecuador","Country","Damiani, F.","Boero, V.","Ricoy, A.","Operationally Active","TCP/ECU/3501 BABY03","Apoyo al fortalecimiento del sistema nacional de estad°sticas agropecuarias","$79,948 ","Damiani, F.Boero, V.Ricoy, A.","RLC"
"2017-11-30","Fiji, Republic of","Country","Voortman, U.","Martyn, T.","","Operationally Active","TCP/FIJ/3503","Development of Agricultural Information for Policy","$217,000 ","Voortman, U.Martyn, T.","NA"
"2015-12-31","Guyana","Country","Damiani, F.","Boero, V.","Chin, N.","Operationally Active","TCP/GUY/3502 BABY01","Assistance to the Government of Guyana for the strengthening of its agricultural statistical information system for evidence based decision making","$49,889 ","Damiani, F.Boero, V.Chin, N.","SLC"
"2016-06-30","Madagascar","not specified","Nyarko-Badohu, K.","","","Operationally Active","TCP/MAG/3502","TCP Facility","$299,932 ","Nyarko-Badohu, K.","NA"
"2016-06-30","Pakistan","Country","Voortman, U.","Srivastava, M.","Ramasawmy, S.","Operationally Active","TCP/PAK/3501 BABY01","Capacity building of Food department in Azad Jammu and Kashmir (AJ&K) to improve its food stock information management system","$50,165 ","Voortman, U.Srivastava, M.Ramasawmy, S.","RAP"
"2016-09-30","Samoa","Country","Voortman, U.","Martyn, T.","Castano, J.","Operationally Active","TCP/SAM/3502","Improving the capacity for evidence-based policy monitoring and development","$351,000 ","Voortman, U.Martyn, T.Castano, J.","NA"
"2016-12-31","Global","Global","Von Gayl, C.","","Caprazli, K.","Operationally Active","GCP /GLO/653/GER","Support to the participation of statisticians at the Seventh ICAS","$16,575 ","Von Gayl, C.Caprazli, K.","NA"
"2016-12-30","Lebanon","Country","Jones, A.","Barre, M.","","Operationally Active","GCP /LEB/023/EC","Support to the MoA in strengthening and modernizing the Agricultural Statistics System","$870,329 ","Jones, A.Barre, M.","RNE"
"2017-10-31","Tanzania, United Republic Of","Country","Mugica Martinez De Aguirre, M.","Fabi, C.","","Operationally Active","GCP /URT/145/IRE","Support to the Implementation of ASSP: Improving district level data using Small Area Estimates","$273,517 ","Mugica Martinez De Aguirre, M.Fabi, C.","NA"
"2016-06-15","Global","Global","Maslovarik, V.","","Grita, F.","Operationally Active","UNJP/GLO/610/ECA","Establishment of a monitoring system for food market prices in Cameroon, Gambia and Zimbabwe","$260,000 ","Maslovarik, V.Grita, F.","Team I"
"","Inter Regional","Interregional","","","","Active Pipeline","PROSPECT/2014-2015","Prospect PWB 2014-15 - Interregional","","","NA"
"2017-03-31","Global","Global","Maslovarik, V.","","","Final Consultation","GINC/GLO/372/MUL BABY03","Italian Cooperation","$0 ","Maslovarik, V.","NA"
"2019-01-15","Venezuela, Bolivarian Republic of","Country","Worman, J.","Boero, V.","Boero, V.","Active Pipeline","UTF /VEN/015/VEN","Estudio de cadenas de valor y fortalecimiento de las estadísticas agrícolas en Venezuela","$2,380,500 ","Worman, J.Boero, V.Boero, V.","RLC"
